"id","language","title","description","path_id","search_vector"
553,"en","Personal hygiene in the workplace","Learn how to practice good personal hygiene in order to make the working environment as enjoyable as possible.",597,"'enjoy':21B 'environ':19B 'good':10B 'hygien':2A,12B 'learn':6B 'make':16B 'order':14B 'person':1A,11B 'possibl':23B 'practic':9B 'work':18B 'workplac':5A"
153,"en","Simple tips to help you get more sleep","Some quick and easy things you can do to ensure you're getting the best possible sleep.",158,"'best':23B 'easi':12B 'ensur':18B 'get':6A,21B 'help':4A 'possibl':24B 'quick':10B 're':20B 'simpl':1A 'sleep':8A,25B 'thing':13B 'tip':2A"
411,"en","Six browser add-ons for Internet privacy","This article from TechCrunch breaks down six browser extensions you can use to improve your privacy online. Link to full article: https://techcrunch.com/2021/01/10/these-6-browser-extensions-will-immediately-improve-your-privacy-online/",448,"'/2021/01/10/these-6-browser-extensions-will-immediately-improve-your-privacy-online/':32B 'add':4A 'add-on':3A 'articl':10B,29B 'break':13B 'browser':2A,16B 'extens':17B 'full':28B 'improv':22B 'internet':7A 'link':26B 'on':5A 'onlin':25B 'privaci':8A,24B 'six':1A,15B 'techcrunch':12B 'techcrunch.com':31B 'techcrunch.com/2021/01/10/these-6-browser-extensions-will-immediately-improve-your-privacy-online/':30B 'use':20B"
353,"en","Effective ways to improve memory","This video provides tips for improving your memory proficiency.",377,"'effect':1A 'improv':4A,11B 'memori':5A,13B 'profici':14B 'provid':8B 'tip':9B 'video':7B 'way':2A"
572,"en","How to identify symptoms of bipolar disorder","People with bipolar disorder usually start showing signs of their condition before they're 25 years old. In this plan, you will learn a variety of symptoms that people with this disorder experience, including major depressive episodes and episodes of manic depression.

Please note: This plan is for self-education purposes only. It is NOT designed to provide or replace professional mental health support or emergency services.",616,"'25':22B 'bipolar':6A,10B 'condit':18B 'depress':43B,49B 'design':64B 'disord':7A,11B,39B 'educ':58B 'emerg':74B 'episod':44B,46B 'experi':40B 'health':71B 'identifi':3A 'includ':41B 'learn':30B 'major':42B 'manic':48B 'mental':70B 'note':51B 'old':24B 'peopl':8B,36B 'plan':27B,53B 'pleas':50B 'profession':69B 'provid':66B 'purpos':59B 're':21B 'replac':68B 'self':57B 'self-educ':56B 'servic':75B 'show':14B 'sign':15B 'start':13B 'support':72B 'symptom':4A,34B 'usual':12B 'varieti':32B 'year':23B"
146,"en","Pack your own lunch and save money","Everyone knows cooking for yourself will almost always be cheaper than eating outâfollow this guide and learn the tricks I used to get myself to start making my own lunch. Half the battle is remembering to pack the lunch, the other half is making sure you have enough food around the houseâboth of which are pretty simple to take care of. Let's get started.",151,"'almost':14B 'alway':15B 'around':58B 'battl':41B 'care':69B 'cheaper':17B 'cook':10B 'eat':19B 'enough':56B 'everyon':8B 'follow':21B 'food':57B 'get':31B,73B 'guid':23B 'half':39B,50B 'hous':60B 'know':9B 'learn':25B 'let':71B 'lunch':4A,38B,47B 'make':35B,52B 'money':7A 'pack':1A,45B 'pretti':65B 'rememb':43B 'save':6A 'simpl':66B 'start':34B,74B 'sure':53B 'take':68B 'trick':27B 'use':29B"
165,"en","Five ways to save money as a young adult","This article from First Bank provides five easy money-saving tips to help you start saving money early as a young adult.

Link to full article: https://localfirstbank.com/article/5-money-saving-tips-for-young-adults/",170,"'/article/5-money-saving-tips-for-young-adults/':39B 'adult':9A,32B 'articl':11B,36B 'bank':14B 'earli':28B 'easi':17B 'first':13B 'five':1A,16B 'full':35B 'help':23B 'link':33B 'localfirstbank.com':38B 'localfirstbank.com/article/5-money-saving-tips-for-young-adults/':37B 'money':5A,19B,27B 'money-sav':18B 'provid':15B 'save':4A,20B,26B 'start':25B 'tip':21B 'way':2A 'young':8A,31B"
394,"en","Start networking on LinkedIn","You've set up your LinkedIn profileânow what? Networking with others can help you accomplish your career goals even faster. To master the art of networking, follow these simple steps.",431,"'accomplish':20B 'art':29B 'career':22B 'even':24B 'faster':25B 'follow':32B 'goal':23B 'help':18B 'linkedin':4A,10B 'master':27B 'network':2A,14B,31B 'other':16B 'profil':11B 'set':7B 'simpl':34B 'start':1A 'step':35B 've':6B"
88,"en","Make your own narrative","Within this plan are tips that will help you reorient yourself and follow your individual path. These questions and prompts are resources and mindful practices that help you look inwards to find happiness.

You'll want to grab a journal, piece of paper, or the notes app on your device to write down your thoughts and answers.",93,"'answer':61B 'app':51B 'devic':54B 'find':36B 'follow':17B 'grab':42B 'happi':37B 'help':12B,31B 'individu':19B 'inward':34B 'journal':44B 'll':39B 'look':33B 'make':1A 'mind':28B 'narrat':4A 'note':50B 'paper':47B 'path':20B 'piec':45B 'plan':7B 'practic':29B 'prompt':24B 'question':22B 'reorient':14B 'resourc':26B 'thought':59B 'tip':9B 'want':40B 'within':5B 'write':56B"
98,"en","The philosophy of time management","This TedTalk video by Brad Aeon provides a philosophical and psychological approach to time management.",103,"'aeon':11B 'approach':17B 'brad':10B 'manag':5A,20B 'philosoph':14B 'philosophi':2A 'provid':12B 'psycholog':16B 'tedtalk':7B 'time':4A,19B 'video':8B"
