challenge_id,challenge,category
1,"After I [your anchor], I will Floss one tooth (BJ’s #1 suggestion)",
2,"After I [your anchor], I will Open my vitamin container",
3,"After I [your anchor], I will Put on one drop of sunscreen",
4,"After I [your anchor], I will Put in my retainer",
5,"After I [your anchor], I will Set out my vitamins",
6,"After I [your anchor], I will Put on my fitness tracker",
7,"After I [your anchor], I will Turn off my Internet router at night",
8,"After I [your anchor], I will Cut our sugar for the day",
9,"After I [your anchor], I will Instead of soda, drink water",
10,"After I [your anchor], I will Wear sunscreen",
11,"After I [your anchor], I will Stop eating till you're full",
