challenge_id,challenge,category
1,"After I [your anchor], I will Floss one tooth (BJ’s #1 suggestion)",Health
2,"After I [your anchor], I will Open my vitamin container",Health
3,"After I [your anchor], I will Put on one drop of sunscreen",Health
4,"After I [your anchor], I will Put in my retainer",Health
5,"After I [your anchor], I will Set out my vitamins",Health
6,"After I [your anchor], I will Put on my fitness tracker",Health
7,"After I [your anchor], I will Cut our sugar for the day",Health
8,"After I [your anchor], I will Instead of soda, drink water",Health
9,"After I [your anchor], I will Wear sunscreen",Health
10,"After I [your anchor], I will Stop eating till you're full",Health
11,"After I [your anchor], I will Do two pushups",Health
12,"After I [your anchor], I will Put on my walking shoes",Health
13,"After I [your anchor], I will Do 3 crunches",Health
14,"After I [your anchor], I will Drink a glass of water",Health
15,"After I [your anchor], I will Only have one cup of coffee/limit your caffeine intake",Health
16,"After I [your anchor], I will Stretch",Health
17,"After I [your anchor], I will Take a walk",Health
18,"After I [your anchor], I will Drink a sip of water",Health
19,"After I [your anchor], I will Take a bite of a carrot",Health
20,"After I [your anchor], I will Fill a glass of water",Health
21,"After I [your anchor], I will Throw out one bad food item in my house",Health
22,"After I [your anchor], I will Write down *one* thing I ate",Health
23,"After I [your anchor], I will Put an apple in my bag",Health
24,"After I [your anchor], I will Write down one veggie I like to eat",Health
25,"After I [your anchor], I will Eat a piece of fruit",Health
26,"After I [your anchor], I will Plan a healthy dinner",Health
27,"After I [your anchor], I will Drink tea",Health
28,"After I [your anchor], I will Eat a healthy snack",Health
29,"After I [your anchor], I will Stretch one part of my body briefly",Health
30,"After I [your anchor], I will Do a quick sketch",Health
31,"After I [your anchor], I will Stretch my back",Health
32,"After I [your anchor], I will Set out my workout clothes",Health
34,"After I [your anchor], I will Turn off my Internet router at night",Personal
35,"After I [your anchor], I will Declutter for 5 minutes",Personal
36,"After I [your anchor], I will Wear a piece of clothing that you haven’t for a while",Personal
37,"After I [your anchor], I will Create a list of things to do today",Personal
38,"After I [your anchor], I will Write three words in my journal",Personal
39,"After I [your anchor], I will Launch Microsoft Word",Personal
40,"After I [your anchor], I will Jot down one thing to write about",Personal
41,"After I [your anchor], I will Write one sentence",Personal
42,"After I [your anchor], I will Breathe deeply 5 times",Personal
43,"After I [your anchor], I will Download a new song",Personal
44,"After I [your anchor], I will Try a new yoga pose",Personal
45,"After I [your anchor], I will Spend 5 minutes looking at the sky",Personal
46,"After I [your anchor], I will Draw 3 random shapes or scribbles on a blank page - then try and make it into a coherent picture of something",Personal
47,"After I [your anchor], I will Get some sun",Personal
48,"After I [your anchor], I will Laugh",Personal
49,"After I [your anchor], I will Stand up straight",Personal
50,"After I [your anchor], I will Practice good posture",Personal
51,"After I [your anchor], I will Refuse to fidget",Personal
52,"After I [your anchor], I will Take a quick cold shower",Personal
53,"After I [your anchor], I will Avoid your phone",Personal
54,"After I [your anchor], I will Use a reusable water bottle",Personal
55,"After I [your anchor], I will Stretch and touch your toes",Personal
56,"After I [your anchor], I will Stop taking photos of everything",Personal
57,"After I [your anchor], I will Do a chore",Personal
58,"After I [your anchor], I will Dance for 5 minutes",Personal
59,"After I [your anchor], I will Unplug for an hour",Personal
60,"After I [your anchor], I will Try a new food",Personal
61,"After I [your anchor], I will Change a password",Personal
62,"After I [your anchor], I will Spend 5 minutes quietly",Personal
63,"After I [your anchor], I will Do child's pose/ cat cow/ downward dog",Personal
64,"After I [your anchor], I will Exhale and relax for 2 seconds",Personal
65,"After I [your anchor], I will Yawn to relax my jaw",Personal
66,"After I [your anchor], I will Listen to your favorite song",Personal
67,"After I [your anchor], I will Try something new in your self-care routine",Personal
68,"After I [your anchor], I will Change your phone screensaver to something that makes you smile",Personal
69,"After I [your anchor], I will Detach from the source of your stress",Personal
70,"After I [your anchor], I will Take your time",Personal
71,"After I [your anchor], I will Take a break",Personal
72,"After I [your anchor], I will Forgive yourself",Personal
73,"After I [your anchor], I will Look on the bright side",Personal
74,"After I [your anchor], I will Play 3 chords on the guitar",Personal
75,"After I [your anchor], I will Plug mobile phone into charger",Personal
76,"After I [your anchor], I will Turn on the ringer on my phone",Personal
77,"After I [your anchor], I will Plan your week",Personal
78,"After I [your anchor], I will Accomplish something early",Personal
79,"After I [your anchor], I will Prioritize your most challenging task",Personal
80,"After I [your anchor], I will Hang up my coat",Personal
81,"After I [your anchor], I will Wipe out sink",Personal
82,"After I [your anchor], I will Tidy one thing in the house",Personal
83,"After I [your anchor], I will Put dirty laundry in basket",Personal
84,"After I [your anchor], I will Wipe my bathroom mirror",Personal
85,"After I [your anchor], I will Turn off lights in study",Personal
86,"After I [your anchor], I will Clean one dish",Personal
87,"After I [your anchor], I will Clear one item off my desk",Personal
88,"After I [your anchor], I will Pull cover up on bed",Personal
89,"After I [your anchor], I will Make your bed",Personal
90,"After I [your anchor], I will Look up at the stars",Personal
91,"After I [your anchor], I will Smile immediately",Personal
92,"After I [your anchor], I will Think of one thing I’m grateful for",Personal
93,"After I [your anchor], I will Say one thing I’m thankful for",Personal
94,"After I [your anchor], I will Do one visualization",Personal
95,"After I [your anchor], I will Read one verse of scripture",Personal
96,"After I [your anchor], I will Meditate for 3 breaths",Personal
97,"After I [your anchor], I will Do one sun salutation",Personal
98,"After I [your anchor], I will Write down one positive word",Personal
99,"After I [your anchor], I will Smile at yourself in the mirror",Personal
100,"After I [your anchor], I will Acknowledge how you are feeling today",Personal
101,"After I [your anchor], I will Speak daily affirmations",Personal
102,"After I [your anchor], I will List 3 things you like about yourself",Personal
103,"After I [your anchor], I will Be honest with yourself",Personal
104,"After I [your anchor], I will Take a personality quiz",Personal
106,"After I [your anchor], I will Give someone a hug",Social
107,"After I [your anchor], I will Smile at the first stranger you see",Social
108,"After I [your anchor], I will Give someone a compliment",Social
109,"After I [your anchor], I will Say thank you to someone",Social
110,"After I [your anchor], I will Practice an act of kindness",Social
111,"After I [your anchor], I will Help someone around you",Social
112,"After I [your anchor], I will Turn off the ringer on my phone",Social
113,"After I [your anchor], I will Plan something fun for the weekend",Social
114,"After I [your anchor], I will Let go of a grudge",Social
115,"After I [your anchor], I will Kiss my spouse",Social
116,"After I [your anchor], I will Think of one special person to call/text today",Social
117,"After I [your anchor], I will Text my mom",Social
118,"After I [your anchor], I will Get out my set of “thank you” notes",Social
119,"After I [your anchor], I will Give my spouse a hug",Social
120,"After I [your anchor], I will Send a text to a friend",Social
121,"After I [your anchor], I will Tell someone you love them",Social
122,"After I [your anchor], I will Genuinely listen to people's response after asking them ‘ how they are doing’",Social
123,"After I [your anchor], I will Make eye contact with someone new",Social
124,"After I [your anchor], I will Really be present in a conversation",Social
125,"After I [your anchor], I will Figure out your love language",Social
126,"After I [your anchor], I will Call a family member",Social
